国家 1
统计 7189
统计局 4221
国家统计局 1569
投资 1526
投资司 5364
首席 56
统计师 224
罗毅 543
飞 4
解读 125
年 868
月份 15103
数据 6766
固定 5676
资产 656
固定资产 1085
稳定 510
恢复 1907
  1457
高技 2833
技术 734
高技术 5317
产业 713
增速 5828
较快 3771
地区 911
部门 3395
贯彻 1894
落实 689
贯彻落实 1396
中央 287
党中央 1985
国务 676
国务院 718
决策 676
部署 409
求进 675
稳中求进 70
工作 69
总 6174
基调 703
国内 74
需求 1843
加快 2152
发挥 3156
优化 1296
供给 1144
结构 876
关键 1935
关键性 984
作用 25
全国 1686
含 5419
农户 373
同比 353
增长 6003
基期 14842
两年 138
平均 741
一季 1562
季度 1346
一季度 3123
提高 1314
百分 3096
分点 8347
百分点 8289
环比 8289
第一 1498
第三 2332
三产 930
第三产业 288
第二产业 264
由降 245
转增 112
一产 31
第一产业 167
畜牧 156
牧业 56
畜牧业 64
倍 50
农业 315
渔业 1431
下降 113
制造 5683
制造业 5068
高于 4389
降幅 909
收窄 1418
接近 1214
同期 220
水平 1551
原材 2210
材料 460
原材料 1076
黑色 459
金属 443
黑色金属 1341
冶炼 356
压延 434
加工 406
工业 1285
加工业 5610
化学 616
原料 628
化学原料 334
制品 194
装备 730
消费 487
消费品 6431
房地 1436
地产 1019
房地产 1090
开发 1018
二 1636
民间 1284
活力 416
增强 570
国民 1180
经济 659
国民经济 8348
持续 522
放 3332
服 127
改革 119
深化 1921
激发 672
市场 356
场主 5537
主体 366
市场主体 1016
创业 357
创新 678
动力 3930
农林 1098
农林牧 104
农林牧渔业 52
教育 51
基础 3284
设施 2796
基础设施 1326
航空 727
航天 287
航天器 404
设备 19
计算 1591
算机 1357
计算机 375
办公 375
公设 921
办公设备 38
医疗 38
仪器 1265
仪器设备 166
仪表 48
仪器仪表 100
服务 94
服务业 9579
检验 2637
检测 183
电子 549
商务 1113
电子商务 1163
研发 135
设计 843
信息 1399
三 3068
工程 1344
项目 1626
工程项目 2597
建设 40
推进 4652
民生 2638
领域 588
补短 2431
板 91
增加 139
一批 3880
交通 467
能源 1243
水利 1479
稳步 260
平稳 494
传输 992
业 286
铁路 1223
运输 728
运输业 957
管理 128
生态 2851
保护 2228
环境 2134
治理 2205
环境治理 1294
社会 80
卫生 6759
四 829
